case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,admissible,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,n5_gt,n6_gt,n7_gt,n_atoms_gt,n_atoms_init_recon,atom_recon_err,ring_l1_init,tau_init_57,nx_sweep,Ef_rel
T1_vacancy,K3,R2,P4,K3/R2/P4,0.01,1023,256,148,0.00392156862745098,0.10245296116419421,0.0895210655551467,0.12622276078797234,True,8600,True,1.1113082866238126e-16,39.008475510423814,0.0008110599258225931,0.7343542469751595,False,997,969,0,0,423,0,0,402,1.0,3,53,0,456,0,1023,997,0.02541544477028348,0.07236842105263158,1.0,256,
T1_vacancy,K3,R2,P4,K3/R2/P4,0.01,1023,384,222,0.0026109660574412533,0.09358823927393294,0.08249470842122877,0.11853552261233784,True,7600,True,2.222616573247625e-16,39.54884175848243,0.00035447953357147476,0.7228481534854807,False,1007,994,0,0,437,0,0,407,1.0,3,130,0,456,0,1023,1007,0.015640273704789834,0.041666666666666664,1.0,384,
T1_vacancy,K3,R2,P4,K3/R2/P4,0.01,1023,512,296,0.0019569471624266144,0.09358715844317554,0.08228164463992897,0.12080197744342325,True,7400,True,0.0,41.18740355613058,0.00031917436000023956,0.726514831849156,False,1007,1004,0,0,440,0,0,401,1.0,3,153,0,456,0,1023,1007,0.015640273704789834,0.03508771929824561,1.0,512,
T1_vacancy,K3,R2,P4,K3/R2/P4,0.01,1023,768,444,0.001303780964797914,0.0896821004595327,0.07948704552430035,0.11367993036506407,True,7000,True,3.333924859871438e-16,40.07013527224639,0.0002478423794408171,0.7149975857208555,False,1007,1002,0,0,432,0,0,392,1.0,3,194,0,456,0,1023,1007,0.015640273704789834,0.05263157894736842,1.0,768,-0.02832226588515744
T2_stone_wales,K2,R2,P3,K2/R2/P3,0.01,1024,256,148,0.00392156862745098,0.09793759719198228,0.07802428421756379,0.20332654205701411,True,14400,True,2.220446049250313e-16,49.109744536940674,0.0007139009409485291,0.8184870720532305,False,1024,1023,2,1,439,2,1,427,1.0,0,14,2,446,1,1024,1024,0.0,0.015590200445434299,1.0,256,
T2_stone_wales,K2,R2,P3,K2/R2/P3,0.01,1024,384,222,0.0026109660574412533,0.09975244552444715,0.07783188542194457,0.21974960099730417,True,13600,True,2.220446049250313e-16,55.99294963564203,0.0003423561608279425,0.8310151750186602,False,1024,1031,2,1,442,2,1,436,1.0,0,19,2,446,1,1024,1024,0.0,0.008908685968819599,1.0,384,
T2_stone_wales,K2,R2,P3,K2/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.10024089961201951,0.07773278513253828,0.22454022825611558,True,13200,True,0.0,58.46453007177513,0.0002850225885225852,0.8344284123675544,False,1024,1032,2,1,429,2,1,442,1.0,0,27,2,446,1,1024,1024,0.0,0.0378619153674833,1.0,512,
T2_stone_wales,K2,R2,P3,K2/R2/P3,0.01,1024,768,444,0.001303780964797914,0.10074629091721213,0.07763489796341154,0.22940192381665234,True,12600,True,1.1102230246251565e-16,60.55561475846632,0.0002069688741993599,0.8377657319817845,False,1024,1033,2,1,436,2,1,437,1.0,0,30,2,446,1,1024,1024,0.0,0.022271714922048998,1.0,768,-3.949916524768616e-05
T2_stone_wales,K3,R2,P3,K3/R2/P3,0.01,1024,256,148,0.00392156862745098,0.07792287253086913,0.0778101621269534,0.0014464354335896174,True,800,True,0.0,3.5630808332996837,0.028329016345884347,0.10619932533867214,False,1024,943,2,1,442,0,0,390,0.0,0,66,2,446,1,1024,1024,0.0,0.008908685968819599,1.0,256,
T2_stone_wales,K3,R2,P3,K3/R2/P3,0.01,1024,384,222,0.0026109660574412533,0.07768826174854401,0.0776059059003048,0.001060080974726542,True,800,True,2.220446049250313e-16,3.3217325555302084,0.004571746736653396,0.09124704182727772,False,1024,952,2,1,442,0,0,392,0.0,0,62,2,446,1,1024,1024,0.0,0.008908685968819599,1.0,384,
T2_stone_wales,K3,R2,P3,K3/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.07759254561167368,0.07750474628324666,0.0011315433426611528,True,800,True,0.0,3.5328410462547133,0.0005141499095144231,0.09431029966871042,False,1024,951,2,1,436,0,0,390,0.0,0,62,2,446,1,1024,1024,0.0,0.022271714922048998,1.0,512,
T2_stone_wales,K3,R2,P3,K3/R2/P3,0.01,1024,768,444,0.001303780964797914,0.07745888705633944,0.07740278625424565,0.0007242655326686909,True,800,True,0.0,2.868077089108804,0.00016959496934315754,0.07565231876440612,False,1024,951,2,1,442,0,0,386,0.0,0,62,2,446,1,1024,1024,0.0,0.008908685968819599,1.0,768,-0.0017620860977251012
T2_stone_wales,K3,R2,P4,K3/R2/P4,0.01,1024,256,148,0.00392156862745098,0.07792287253086913,0.0778101621269534,0.0014464354335896174,True,800,True,0.0,3.5630808332996837,0.028329016345884347,0.10619932533867214,False,1024,943,2,1,442,0,0,390,0.0,0,66,2,446,1,1024,1024,0.0,0.008908685968819599,1.0,256,
T2_stone_wales,K3,R2,P4,K3/R2/P4,0.01,1024,384,222,0.0026109660574412533,0.07768826174854401,0.0776059059003048,0.001060080974726542,True,800,True,2.220446049250313e-16,3.3217325555302084,0.004571746736653396,0.09124704182727772,False,1024,952,2,1,442,0,0,392,0.0,0,62,2,446,1,1024,1024,0.0,0.008908685968819599,1.0,384,
T2_stone_wales,K3,R2,P4,K3/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.07759254561167368,0.07750474628324666,0.0011315433426611528,True,800,True,0.0,3.5328410462547133,0.0005141499095144231,0.09431029966871042,False,1024,951,2,1,436,0,0,390,0.0,0,62,2,446,1,1024,1024,0.0,0.022271714922048998,1.0,512,
