config,case,protocol,tier,c2_h1,c2_h2,w_ratio,ringL1_init,ringL1_relaxed,healthy,nmax
h2_0.40,T3_dislocation_dipole,K4/R2/P3,bad,1.05,0.4,0.1,2.3230337078651684,2.581460674157303,True,0.9127121021057026
h2_0.40,T4_low_angle_gb,K1/R2/P3,bad,1.05,0.4,0.1,2.2486033519553073,2.377094972067039,True,0.592851566744146
h2_0.40,T4_low_angle_gb,K2/R2/P3,good,1.05,0.4,0.1,0.0,0.019553072625698324,True,1.2278067777382329
h2_0.40,T4_low_angle_gb,K3/R2/P3,good,1.05,0.4,0.1,0.0,0.025139664804469275,True,0.8018108692313162
h2_0.40,T4_low_angle_gb,K3/R2/P4,good,1.05,0.4,0.1,0.0,0.027932960893854747,True,0.7123106602295577
h2_0.40,T4_low_angle_gb,K4/R2/P3,bad,1.05,0.4,0.1,1.0307262569832403,1.2318435754189945,True,0.6057421376557455
h2_0.40,T5_high_angle_gb,K1/R2/P3,bad,1.05,0.4,0.1,2.0294117647058822,1.9893048128342246,True,0.49665203022977045
h2_0.40,T5_high_angle_gb,K2/R2/P3,good,1.05,0.4,0.1,0.0106951871657754,0.06149732620320856,True,1.2196090898070173
h2_0.40,T5_high_angle_gb,K3/R2/P3,good,1.05,0.4,0.1,0.034759358288770054,0.06951871657754011,True,0.706747688671703
h2_0.40,T5_high_angle_gb,K3/R2/P4,good,1.05,0.4,0.1,0.034759358288770054,0.06417112299465241,True,0.6520250189659175
h2_0.40,T5_high_angle_gb,K4/R2/P3,bad,1.05,0.4,0.1,1.0641711229946524,1.4572192513368984,True,0.7724146979353056
h2_0.80,T0_pristine,K1/R2/P3,bad,1.05,0.8,0.1,2.651685393258427,0.802247191011236,True,0.8557322520951709
h2_0.80,T0_pristine,K2/R2/P3,good,1.05,0.8,0.1,0.02247191011235955,0.015730337078651686,True,0.9979057355378326
h2_0.80,T0_pristine,K3/R2/P3,good,1.05,0.8,0.1,0.008988764044943821,0.02696629213483146,True,0.7600035488133305
h2_0.80,T0_pristine,K3/R2/P4,good,1.05,0.8,0.1,0.008988764044943821,0.011235955056179775,True,0.735398974856496
