case,K,R,P,protocol,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,seed,Ef_rel
T2_stone_wales,K4,R2,P1,K4/R2/P1,1024,110,64,0.009174311926605505,270920972030.86737,3.7522946203437605e+24,-13850144535565.787,False,200,0.0,20602.700440806726,0.07090632434772574,1053.7077302780397,False,616,809,0,0,0,0,0,0,1.0,413,523,0,9.702891981196922e-05
T2_stone_wales,K4,R2,P2,K4/R2/P2,1024,110,64,0.009174311926605505,1.9058418753841433e-05,8.90439249411292e-06,0.5327842981559978,False,300,0.0,0.06922231255408307,0.10024195554243955,0.4430391223839906,False,7,339,0,0,0,0,0,0,1.0,0,261,0,nan
T2_stone_wales,K4,R2,P3,K4/R2/P3,1024,110,64,0.009174311926605505,0.09293031024688608,0.08644390837796184,0.06979856035874568,False,300,0.0,13.283386617275818,0.07090632434772574,0.3123465828181642,False,436,472,0,0,0,0,0,0,1.0,307,314,0,-0.0001572863322249746
T2_stone_wales,K4,R2,P4,K4/R2/P4,1024,110,64,0.009174311926605505,0.11033312812472743,0.10546076481697468,0.044160474651318886,False,300,0.0,12.06416051688205,0.08323835908439717,0.292360259410622,False,436,495,0,0,0,0,0,0,1.0,307,358,0,-0.00012966833980886984
T2_stone_wales,K3,R1,P2,K3/R1/P2,1024,110,64,0.009174311926605505,23384237.643365048,2.9223215010202664e+21,-124969714454189.66,False,200,0.0,69.16689542392288,0.6395964815167239,3691.6937843370547,True,466,963,1,0,1,1,5,7,6.0,293,665,0,4.288234739486716e+25
T2_stone_wales,K3,R3,P2,K3/R3/P2,1024,110,64,0.009174311926605505,2.4856982890652084,2.4856930524383047,2.106702541775091e-06,True,200,0.0,0.2722346114152705,0.7003865220125698,0.002947621692120121,False,0,0,0,0,0,0,0,0,1.0,0,0,0,1.7636967689636394e-05
T3_dislocation_dipole,K1,R2,P1,K1/R2/P1,856,110,42,0.009174311926605505,407788006065.9741,4.0226080529407243e+23,-986445896666.6732,False,200,0.0,18422.639072135757,0.012118533986715044,669.4418995501283,False,1816,835,0,0,0,0,0,0,1.0,1108,702,0,-0.9998490639616442
T3_dislocation_dipole,K1,R2,P2,K1/R2/P2,856,110,42,0.009174311926605505,0.0019957374188614703,0.0008999607661105057,0.549058529641682,False,300,0.0,3.0869459984003194,0.030058481589226974,0.4602860916408347,False,679,595,0,0,0,0,0,0,1.0,585,513,0,-0.9879822797577311
T3_dislocation_dipole,K1,R2,P3,K1/R2/P3,856,110,42,0.009174311926605505,0.08558307489588543,0.06358993729523314,0.2569799884779514,False,300,0.0,24.655944304758965,0.012118533986715044,0.45040034907815435,False,1334,1675,0,0,0,0,0,0,1.0,997,908,0,-0.22920450226867584
T3_dislocation_dipole,K1,R2,P4,K1/R2/P4,856,110,42,0.009174311926605505,0.09766824881717523,0.09174835067084817,0.06061230971191555,False,300,0.0,18.782123244073325,0.028019677508040568,0.3810937281044596,False,1330,1814,0,0,0,0,0,0,1.0,993,1002,0,-0.4603698707702392
