case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,Ef_rel
T1_vacancy,K4,R2,P1,K4/R2/P1,0.01,1023,512,296,0.0019569471624266144,257327149727.15726,5.580329240050896e+27,-2.1685738352784356e+16,False,200,3.333924859871438e-16,7719.358520357585,0.008670234301961417,3866.534621454785,False,324,860,0,4,8,0,2,11,0.5,172,462,
T1_vacancy,K4,R2,P2,K4/R2/P2,0.01,1023,512,296,0.0019569471624266144,0.006064919934569968,0.0003410201580336458,0.9437716966237534,False,20000,3.333924859871438e-16,5.994685681333019,0.011353593856819695,0.9431848657221836,False,367,52,1,0,1,0,0,0,0.0,243,19,
T1_vacancy,K4,R2,P3,K4/R2/P3,0.01,1023,512,296,0.0019569471624266144,0.11095816647324257,0.08015078154944405,0.2776486481617167,False,20000,3.333924859871438e-16,9.757771257168146,0.008670234301961413,0.793089592248768,False,324,52,0,4,8,0,1,1,0.25,172,16,
T1_vacancy,K4,R2,P4,K4/R2/P4,0.01,1023,512,296,0.0019569471624266144,0.15805499935845804,0.1535460753587407,0.028527563304033176,True,15600,3.333924859871438e-16,6.810686186788038,0.011501447892236883,0.4320668858907718,False,324,79,0,4,8,0,0,0,0.0,172,32,
T1_vacancy,K3,R1,P2,K3/R1/P2,0.01,1023,512,296,0.0019569471624266144,557.582165390469,9953742263.82308,-17851614.20876942,False,200,0.0,381.62129078233204,0.007348257114925356,33.294924394719764,True,400,425,0,0,0,5,0,0,nan,230,282,
T1_vacancy,K3,R3,P2,K3/R3/P2,0.01,1023,512,296,0.0019569471624266144,2.4437796732104586,2.443779672270153,3.847751176017521e-10,True,200,0.0,0.011309467535517814,0.04467292350970647,3.896361667676233e-05,False,0,0,0,0,0,0,0,0,1.0,0,0,
T2_stone_wales,K1,R2,P1,K1/R2/P1,0.01,1024,512,296,0.0019569471624266144,445001942810.4552,1.2534813743968395e+27,-2816799779525342.0,False,200,0.0,103509.75979654118,8.282610549317203e-05,3651.120112022871,False,507,1030,2,0,0,3,2,53,2.5,357,624,
T2_stone_wales,K1,R2,P2,K1/R2/P2,0.01,1024,512,296,0.0019569471624266144,0.036279599026993216,0.001350019891564201,0.9627884561083562,False,20000,0.0,48.5273238614209,0.00014550964805588672,0.984938853144863,False,487,178,1,0,0,0,1,0,1.0,346,103,
T2_stone_wales,K1,R2,P3,K1/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.08611645444281754,0.07761157560335055,0.09876020668168986,True,12200,0.0,26.500119366743288,8.282610549317203e-05,0.6855849855863013,False,495,408,2,0,0,0,0,0,0.0,343,322,
T2_stone_wales,K1,R2,P4,K1/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.09794177539279514,0.09215189207590885,0.05911556425913237,True,4000,0.0,23.0264478141768,0.0002828464620618088,0.584605448162119,False,495,431,2,0,0,0,0,0,0.0,343,357,
T2_stone_wales,K2,R2,P1,K2/R2/P1,0.01,1024,512,296,0.0019569471624266144,2659737001513.5576,2.093521606931698e+32,-7.871160215240652e+19,False,200,0.0,338209.24067699956,0.00028502258852258533,60053.678649111185,False,1024,974,2,1,429,1,0,120,0.3333333333333333,0,416,
