case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,admissible,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,n5_gt,n6_gt,n7_gt,n_atoms_gt,n_atoms_init_recon,atom_recon_err,ring_l1_init,tau_init_57,Ef_rel
T2_stone_wales,K1,R2,P3,K1/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.08611645444281754,0.07761247416217763,0.09874977245244883,True,12200,True,0.0,26.500119366743288,8.282610549317203e-05,0.6855231189366143,False,495,405,2,0,0,0,0,0,0.0,343,320,2,446,1,1024,495,0.5166015625,2.694877505567929,0.6666666666666666,-0.0003166825193908564
T2_stone_wales,K1,R2,P4,K1/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.09794177539279514,0.0921521077401784,0.05911336229507067,True,4000,True,0.0,23.0264478141768,0.0002828464620618088,0.5845782274035569,False,495,432,2,0,0,0,0,0,0.0,343,357,2,446,1,1024,495,0.5166015625,2.694877505567929,0.6666666666666666,-0.038545752371547184
T2_stone_wales,K2,R2,P1,K2/R2/P1,0.01,1024,512,296,0.0019569471624266144,2659737001513.5576,2.0935152324306292e+32,-7.871136248581297e+19,False,200,False,0.0,338209.24067699956,0.00028502258852258533,60053.63003096962,False,1024,974,2,1,429,1,0,120,0.3333333333333333,0,416,2,446,1,1024,1024,0.0,0.0378619153674833,1.0,nan
T2_stone_wales,K2,R2,P2,K2/R2/P2,0.01,1024,512,296,0.0019569471624266144,9341635.13825616,2.9308341532516384e+22,-3137388808142583.5,False,200,False,0.0,1026.8119240164692,0.017775876759973445,4405.267924806,False,376,629,0,0,0,5,2,0,nan,252,455,2,446,1,1024,376,0.6328125,2.1247216035634744,0.0,nan
T2_stone_wales,K2,R2,P3,K2/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.10024089961201951,0.07773278513253828,0.22454022825611558,True,13200,True,0.0,58.46453007177513,0.0002850225885225852,0.8344284123675544,False,1024,1032,2,1,429,2,1,442,1.0,0,27,2,446,1,1024,1024,0.0,0.0378619153674833,1.0,-5.718232799253686e-05
T2_stone_wales,K2,R2,P4,K2/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.12294357199144341,0.10443229577258688,0.15056725552227226,True,6600,True,0.0,52.75223265417983,0.0003145410291779267,0.7669625255237819,False,1024,1034,2,1,429,2,1,427,1.0,0,44,2,446,1,1024,1024,0.0,0.0378619153674833,1.0,-0.0010467863034663996
T2_stone_wales,K3,R2,P1,K3/R2/P1,0.01,1024,512,296,0.0019569471624266144,36942605630785.6,1.2569214291052041e+45,-3.402362685694715e+31,False,200,False,0.0,347243.21884394035,0.000514149909514423,15068570.390721396,False,1015,963,2,1,428,9,0,37,3.0,8,522,2,446,1,1024,1015,0.0087890625,0.0400890868596882,1.0,nan
T2_stone_wales,K3,R2,P2,K3/R2/P2,0.01,1024,512,296,0.0019569471624266144,236688.6869049267,1.0840822222565165e+19,-45802029511108.31,False,200,False,0.0,603.0643573406883,0.014201837878010447,1207.8143596216355,False,399,462,0,0,2,0,0,4,1.0,279,292,2,446,1,1024,399,0.6103515625,2.2293986636971046,0.0,nan
T2_stone_wales,K3,R2,P3,K3/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.07759254561167368,0.07750474628324666,0.0011315433426611528,True,800,True,0.0,3.5328410462547133,0.0005141499095144231,0.09431029966871042,False,1024,951,2,1,436,0,0,390,0.0,0,62,2,446,1,1024,1024,0.0,0.022271714922048998,1.0,-0.0018528889121527197
T2_stone_wales,K3,R2,P4,K3/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.07759254561167368,0.07750474628324666,0.0011315433426611528,True,800,True,0.0,3.5328410462547133,0.0005141499095144231,0.09431029966871042,False,1024,951,2,1,436,0,0,390,0.0,0,62,2,446,1,1024,1024,0.0,0.022271714922048998,1.0,-0.07026050865082849
T2_stone_wales,K4,R2,P1,K4/R2/P1,0.01,1024,512,296,0.0019569471624266144,254352361661.5327,2.8062840160390537e+27,-1.1033056653011866e+16,False,200,False,2.220446049250313e-16,7403.524578701116,0.007356403921373915,3138.9555202742704,False,308,783,1,5,7,0,0,0,0.0,145,442,2,446,1,1024,308,0.69921875,1.3919821826280623,2.0,nan
T2_stone_wales,K4,R2,P2,K4/R2/P2,0.01,1024,512,296,0.0019569471624266144,0.009458143424459253,0.0007756983020005771,0.9179861980106391,False,20000,True,2.220446049250313e-16,6.483971971011215,0.01373150830469305,0.9532829974108877,False,369,36,2,0,3,0,0,0,0.0,241,17,2,446,1,1024,369,0.6396484375,1.864142538975501,0.6666666666666666,-0.4958178538942603
T2_stone_wales,K4,R2,P3,K4/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.11572236360304707,0.08099750463619239,0.30007042619669017,False,20000,True,2.220446049250313e-16,10.897639744222081,0.007356403921373909,0.7920000142199607,False,301,26,1,5,7,0,0,0,0.0,130,6,2,446,1,1024,301,0.7060546875,1.3697104677060135,2.0,0.005036533621545635
T2_stone_wales,K4,R2,P4,K4/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.16482845192008952,0.16031706728502126,0.027370181437215823,False,20000,True,2.220446049250313e-16,7.542983177413429,0.009080672251364592,0.4210026478364214,False,301,69,1,5,7,0,0,0,0.0,130,42,2,446,1,1024,301,0.7060546875,1.3697104677060135,2.0,0.06700413809224266
T2_stone_wales,K3,R1,P2,K3/R1/P2,0.01,1024,512,296,0.0019569471624266144,770842.1200717037,1.4580722378240457e+22,-1.891531611801929e+16,False,200,False,0.0,431.9633353679237,0.0033464788179799823,8184.420685777056,True,407,602,2,0,0,5,0,1,2.5,254,407,2,446,1,1024,407,0.6025390625,2.244988864142539,0.6666666666666666,nan
T2_stone_wales,K3,R3,P2,K3/R3/P2,0.01,1024,512,296,0.0019569471624266144,2.443778861919492,2.44377886080755,4.550091119921915e-10,True,200,True,0.0,0.011439705703011078,0.040407276011738345,4.2794376268007234e-05,False,0,0,0,0,0,0,0,0,1.0,0,0,2,446,1,1024,0,1.0,1.0,0.0,2.861108061766022e-07
T3_dislocation_dipole,K1,R2,P1,K1/R2/P1,0.01,856,512,198,0.0019569471624266144,499222373768.51276,8.231643485684865e+25,-164889314225764.1,False,200,False,0.0,61984.07335409478,3.433623661261068e-05,1999.6124624312629,False,349,420,0,0,3,3,1,2,nan,215,215,0,356,0,856,349,0.5922897196261683,2.3707865168539324,1.0,nan
T3_dislocation_dipole,K1,R2,P2,K1/R2/P2,0.01,856,512,198,0.0019569471624266144,0.013875670513383946,0.00029975481029461055,0.9783970936751865,False,20000,True,0.0,27.19488563062121,3.605870699893268e-05,0.9807130356390218,False,303,28,0,1,4,0,0,0,0.0,192,3,0,356,0,856,303,0.6460280373831776,1.9101123595505618,nan,-0.7506099103365638
T3_dislocation_dipole,K1,R2,P3,K1/R2/P3,0.01,856,512,198,0.0019569471624266144,0.06643065621427927,0.05210756585794564,0.21560964730098328,False,20000,True,0.0,29.87881718003292,3.433623661261075e-05,0.8110405191168094,False,333,84,0,0,3,0,0,0,1.0,215,31,0,356,0,856,333,0.610981308411215,2.292134831460674,1.0,-0.3288312882042406
T3_dislocation_dipole,K1,R2,P4,K1/R2/P4,0.01,856,512,198,0.0019569471624266144,0.08741873371650037,0.08269634285368035,0.054020353098853696,True,4400,True,0.0,22.7633247238195,0.00031577397923846737,0.5655025746745295,False,333,289,0,0,3,0,0,1,1.0,215,208,0,356,0,856,333,0.610981308411215,2.292134831460674,1.0,-0.13720095991527778
T3_dislocation_dipole,K2,R2,P1,K2/R2/P1,0.01,856,512,198,0.0019569471624266144,2428993854832.7476,1.8057747042263452e+32,-7.434249784673436e+19,False,200,False,2.656234526205982e-16,372760.07737792685,0.0007853709516194648,58826.99328993392,False,856,821,0,0,361,15,1,75,nan,16,400,0,356,0,856,856,0.0,0.014044943820224719,1.0,nan
T3_dislocation_dipole,K2,R2,P2,K2/R2/P2,0.01,856,512,198,0.0019569471624266144,13383671.864546781,6.787210392566959e+22,-5071261804128815.0,False,200,False,2.656234526205982e-16,1455.1319683650586,0.03148240817789288,5689.395153261452,False,294,410,0,0,0,2,1,0,nan,175,255,0,356,0,856,294,0.6565420560747663,2.039325842696629,1.0,nan
T3_dislocation_dipole,K2,R2,P3,K2/R2/P3,0.01,856,512,198,0.0019569471624266144,0.0713874137342829,0.05201368708630713,0.2713885492488682,False,20000,True,2.656234526205982e-16,70.51326198912491,0.0007853709516194654,0.8626023593935545,False,856,862,0,0,361,0,0,365,1.0,16,27,0,356,0,856,856,0.0,0.014044943820224719,1.0,-0.3309037784518952
T3_dislocation_dipole,K2,R2,P4,K2/R2/P4,0.01,856,512,198,0.0019569471624266144,0.09994489630458897,0.08651805723071333,0.13434241837578598,True,8200,True,2.656234526205982e-16,59.413939309108414,0.0007271718310435217,0.7456892586600877,False,856,866,0,0,361,0,0,360,1.0,16,34,0,356,0,856,856,0.0,0.014044943820224719,1.0,-0.17240647948976123
T3_dislocation_dipole,K3,R2,P1,K3/R2/P1,0.01,856,512,198,0.0019569471624266144,24311373392661.273,4.884228116215452e+45,-2.009030110034764e+32,False,200,False,0.0,386205.9633264915,0.0011252899470876815,16797495.8360704,False,844,701,0,0,357,1,0,6,nan,16,540,0,356,0,856,844,0.014018691588785047,0.0028089887640449437,1.0,nan
