family,regime,knob,value,sigma_equiv,mean_ringL1,max_ringL1,ringL1_T0,ringL1_T1,ringL1_T2,ringL1_T3,ringL1_T4,ringL1_T5
K1,wide,k_cut,380.0,0.002631578947368421,1.0432017982753032,1.8084632516703787,1.4831460674157304,1.4671052631578947,1.8084632516703787,0.3455056179775281,0.6229050279329609,0.5320855614973262
K1,wide,k_cut,390.0,0.002564102564102564,0.8636113557247674,0.9859550561797753,0.8561797752808988,0.8289473684210527,0.8596881959910914,0.9859550561797753,0.9022346368715084,0.7486631016042781
K1,wide,k_cut,400.0,0.0025,1.0628261803004717,1.752808988764045,0.7078651685393258,0.7741228070175439,0.512249443207127,1.752808988764045,1.3491620111731844,1.2807486631016043
K1,wide,k_cut,410.0,0.0024390243902439024,1.3782083496521427,3.125698324022346,0.01348314606741573,0.03508771929824561,0.008908685968819599,2.955056179775281,3.125698324022346,2.1310160427807485
K1,wide,k_cut,420.0,0.002380952380952381,1.5590842132255205,4.061797752808989,0.015730337078651686,0.021929824561403508,0.008908685968819599,4.061797752808989,3.6284916201117317,1.6176470588235294
K1,wide,k_cut,430.0,0.002325581395348837,1.088759634553836,2.8230337078651684,0.0022471910112359553,0.010964912280701754,0.028953229398663696,2.8230337078651684,2.1620111731843576,1.5053475935828877
K1,wide,k_cut,440.0,0.0022727272727272726,0.6231758112934815,1.5561797752808988,0.020224719101123594,0.017543859649122806,0.0066815144766146995,1.5561797752808988,1.1731843575418994,0.9652406417112299
K1,wide,k_cut,450.0,0.0022222222222222222,0.24949357033805253,0.8100558659217877,0.0022471910112359553,0.015350877192982455,0.017817371937639197,0.03651685393258427,0.8100558659217877,0.6149732620320856
K1,wide,k_cut,460.0,0.002173913043478261,0.02039346829523533,0.0374331550802139,0.01348314606741573,0.03289473684210526,0.013363028953229399,0.008426966292134831,0.01675977653631285,0.0374331550802139
K1,wide,k_cut,470.0,0.002127659574468085,0.017964444367709432,0.034759358288770054,0.020224719101123594,0.013157894736842105,0.0200445434298441,0.008426966292134831,0.0111731843575419,0.034759358288770054
K1,wide,k_cut,480.0,0.0020833333333333333,0.018885467883467583,0.03146067415730337,0.03146067415730337,0.013157894736842105,0.011135857461024499,0.016853932584269662,0.013966480446927373,0.026737967914438502
K1,wide,k_cut,490.0,0.0020408163265306124,0.02270570462108355,0.045454545454545456,0.01348314606741573,0.02631578947368421,0.008908685968819599,0.03089887640449438,0.0111731843575419,0.045454545454545456
K1,wide,k_cut,500.0,0.002,0.02119247620766106,0.040106951871657755,0.02696629213483146,0.013157894736842105,0.024498886414253896,0.014044943820224719,0.008379888268156424,0.040106951871657755
K1,wide,k_cut,510.0,0.00196078431372549,0.018381347700825435,0.0374331550802139,0.01348314606741573,0.019736842105263157,0.008908685968819599,0.0,0.030726256983240222,0.0374331550802139
